award_title,award_words,major_keywords,vision_contents,prestige,prestige_score,Big Major Category #1,Big Major Category #2,Big Major Category #3,Big Major Category #4
NSHSS visualart Competition,,No Extra Match,Y,Selective,3,visualart,,,
Ocean Awareness Student Contest,,Music,Y,Selective,3,Music,,,
Ocean Awareness Student Contest,,No Extra Match,Y,Selective,3,visualart,,,
Ocean Awareness Student Contest,,"Poetry, Prose",Y,Selective,3,humanities,,,
Ocean Awareness Student Contest,,"Visual Art, Film",Y,Selective,3,visualart,,,
Palgrave Communications,,No Extra Match,Y,Very Selective,4,humanities,social_sci,,
Paradigm Challenge,,No Extra Match,Y,Very Selective,4,business,tech_eng,,
Patricia Grodd Poetry Contest,Kenyon Review,No Extra Match,Y,Extremely Selective,5,humanities,,,
Personal Narrative Writing Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,humanities,Communication,,
Podcast Challenge,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,Communication,,,
Presidential Scholar in the Arts,YoungArts Presidential Scholar in the Arts,No Extra Match,Y,Extremely Selective,5,visualart,Music,humanities,performing_arts
President's Volunteer Service Award,,No Extra Match,Y,Selective,3,social_sci,,,
Project Mars,,No Extra Match,Y,Very Selective,4,visualart,Communication,,
Purple Comet,,No Extra Match,Y,Selective,3,math_sci,,,
Questioz,International online journal of high school research,Engineering,Y,Selective,3,tech_eng,,,
Questioz,International online journal of high school research,humanities,Y,Selective,3,humanities,,,
Questioz,International online journal of high school research,"Natural Sciences, Math",Y,Selective,3,math_sci,,,
Questioz,International online journal of high school research,No Extra Match,Y,Selective,3,humanities,social_sci,,
Questioz,International online journal of high school research,"social_scis, social_sci",Y,Selective,3,social_sci,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Blogging, audio, advertisement, broadcasting, cartoon",Y,Selective,3,Communication,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,No Extra Match,y,Selective,3,social_sci,Communication,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Photo, photography, design, graphic",Y,Selective,3,visualart,,,
"Quill & Scroll International Writing, Photo, and Multimedia Contest",,"Writing, reporting, editorial",Y,Selective,3,social_sci,,,
Rattle Young Poets Anthology,,No Extra Match,Y,Selective,3,humanities,,,
Regeneron International Science and Engineering Fair,"ISEF, Intel ISEF",No Extra Match,Y,Extremely Selective,5,math_sci,tech_eng,,
Regeneron Science Talent Search,"Intel STS, STS",No Extra Match,Y,Extremely Selective,5,math_sci,tech_eng,,
Review Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,social_sci,Communication,,
Scholastic Art and Writing Awards,,"Architecture & Industrial Design, Ceramics & Glass, Comic Art, Design, Digital Art, Drawing & Illustration, Editorial Cartoon, Fashion, Film & Animation, Future New, Jewelry, Mixed Media, Painting, Photography, Printmaking, Sculpture, Video Game Design, Art Portfolio",Y,Selective,3,visualart,,,
Scholastic Art and Writing Awards,,"Critical Essay, Dramatic Script, Flash Fiction, Humor, Journalism, Novel Writing, Personal Essay & Memoir, Poetry, Science Fiction & Fantasy, Short Story, Writing Portfolio",Y,Selective,3,humanities,,,
Scholastic Art and Writing Awards,,No Extra Match,Y,Selective,3,humanities,,,
Science Olympiad,,No Extra Match,Y,Selective,3,tech_eng,math_sci,,
Science Without Borders,,No Extra Match,Y,Very Selective,4,visualart,,,
Show Us Your Generation Photo Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,visualart,Communication,,
"Siemens Competition in Math, Science, and Technology",Siemens,No Extra Match,Y,Extremely Selective,5,tech_eng,math_sci,,
Signet Classics Student Scholarship Essay Contest,,No Extra Match,Y,Selective,3,humanities,,,
Skipping Stones Magazine,,No Extra Match,Y,Selective,3,Communication,humanities,,
Society of Professional Journalists: High School Essay Contest,,No Extra Match,Y,Very Selective,4,social_sci,Communication,,
STEM Writing Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,math_sci,tech_eng,Communication,
Stockholm Junior Water Prize,Junior Water Prize,No Extra Match,Y,Extremely Selective,5,math_sci,tech_eng,,
Student Ideas for a Better America ,,No Extra Match,Y,Very Selective,4,tech_eng,,,
Technovation,,No Extra Match,Y,Very Selective,4,tech_eng,business,,
Teen Ink Asia Essay Competition,Teenink Asia,No Extra Match,Y,Selective,3,humanities,,,
Teen Ink Essay Competition,Teenink,No Extra Match,Y,Selective,3,humanities,,,
Ten-Minute Play Contest,"Princeton University, Lewis Center for Arts",No Extra Match,Y,Extremely Selective,5,humanities,performing_arts,,
The Adroit Prizes for Poetry and Prose,,No Extra Match,Y,Extremely Selective,5,humanities,,,
The Concord Review,The Emerson Prize,No Extra Match,Y,Extremely Selective,5,humanities,social_sci,,
The Interlochen Review,,No Extra Match,Y,Selective,3,humanities,,,
The Interlochen Review,,"Poetry, nonfiction, fiction, hybrid, screen plays, script, senior showcase",Y,Selective,3,humanities,,,
The Interlochen Review,,Songs,Y,Selective,3,humanities,,,
The Interlochen Review,,visual art,Y,Selective,3,humanities,,,
The Journal of Philosophy,,No Extra Match,Y,Very Selective,4,humanities,,,
The New Voice One-Act Competition for Young Playwrights,YouthPLAYS,No Extra Match,Y,Selective,3,humanities,performing_arts,,
The social_sci Journal,,No Extra Match,Y,Very Selective,4,social_sci,,,
TOPSS,APA Teachers of Psychologyin Secondary Schools,No Extra Match,Y,Very Selective,4,social_sci,,,
UI Hemingway Festival HIGH SCHOOL WRITING CONTEST,,No Extra Match,Y,Very Selective,4,humanities,,,
USACO,USA Computing Olympiad,No Extra Match,Y,Extremely Selective,5,tech_eng,,,
Verizon Innovative Challenge,Verizon National Innovative App Challenge,No Extra Match,Y,Extremely Selective,5,tech_eng,,,
VEX Robotics Competition,,No Extra Match,Y,Very Selective,4,tech_eng,,,
Vocabulary Video Contest,"New York Times, NY Times, NYT",No Extra Match,Y,Very Selective,4,visualart,Communication,,
VSA Playwright Discovery Competition,,Disability,Y,Selective,3,humanities,performing_arts,,
We the Students Essay Contest by Bill of Rights Institute,,No Extra Match,Y,Very Selective,4,social_sci,,,
William Faulkner Literary Competition,,No Extra Match,Y,Very Selective,4,humanities,,,
