class,title(english),big major category (important #1) - must input,big major category (important #2) - optional input,big major category (important #3) - optional input
summer,mpulse summer dance institute at u michigan,performing arts,,
summer,ucla summer dance_performing arts summer institutes,performing arts,,
summer,new york city dance alliance summer intensive,performing arts,,
summer,school of visual arts summer pre-college,visual arts,,
summer,parsons pre college academy,visual arts,,
summer,the fashion institute of technology’s pre-college programs,visual arts,business,
summer,mpulse summer performing arts institutes,visual arts,,
summer,peabody preparatory annapolis campus music theory workshop,music,performing arts,
summer,uc berkeley embarc summer design academy,visual arts,,
summer,hospitality management summer program at u of new hampshire,business,,
summer,les roches international school of hotel management summer program,business,,
summer,journey for juniors at culinary institute of america,business,,
summer,"chicago culinary, hospitality and business camps for high school students at kendall college",business,,
summer,institute on neuroscience (ion_teach) at emory university,math_science,,
summer,introduction to radar for student engineers at mit lincoln laboratory,,,
summer,the institute for speech and debate,social science,,
summer,rosetta institute cancer_neuroscience summer camps,math_science,,
