TITLE(ENGLISH),strength,Big Major Category #1,Big Major Category #2,Big Major Category #3
COSMOS California State Summer School for Mathematics and Science,Good,Math/Science,Tech/Engineering,
(UF-SSTP) Student Science Training Program U of Florida,Mediocre,Math/Science,,
Young Scholars Program UC Davis,Good,Math/Science,,
RMP (Research Mentorship Program) UC Santa Barbara,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
MMSS (Michigan Math and Science Scholars),Mediocre,Math/Science,,
Dartmouth Debate Workshop,Good,Social Science,Communication,
Dartmouth Debate Institute ,Strong,Social Science,Communication,
The Health Careers Institute at Dartmouth,Mediocre,Math/Science,,
Princeton University Preparatory Program (PUPP),Strong,Humanities,Visual Arts,
University of Texas El Paso High School Law Camp,Mediocre,Social Science,,
NBA Crump Law Camp,Mediocre,Social Science,,
"(GLW) Girls' Leadership Worldwide, Elenor Roosevelt Center at Val-Kill",Mediocre,Social Science,,
WashU High School Summer Scholars,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
WashU High School Summer Institutes,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
WashU Architecture Discovery Program,Mediocre,Visual Arts,,
WashU Portfolio Plus Program,Mediocre,Visual Arts,,
UIUC Discover Architecture Pre-College Program,Poor,Visual Arts,,
Exeter Foreign Language Summer Programs,Mediocre,Humanities,,
Exeter Summer School,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Phillips Andover Academy Summer Session,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Phillips Andover MS2 Program ( Math and Science for Minority Students),Strong,Math/Science,,
Choate Rosemary Hall Summer Session for High School Students,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Hotchkiss School Summer Programs,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Hotchkiss School Summer Leadership and Social Change Program,Good,Social Science,,
Classical Music Summer Program at Curtis Institute,Good,Music,,
Summer Internship for High School Students,Mediocre,Business,,
Indiana U High School Journalism Institute,Mediocre,Communication,Humanities,
National Youth Science Camp,Strong,Math/Science,,
RISD Pre-College,Mediocre,Visual Arts,,
Tuft U Pre College Programs,Mediocre,Humanities,,
Tufts Summer Session,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
University of Virginia Summer Session,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Summer Enrichment Program at University of Virginia Curry School of Education,Good,Social Science,,
Columbia Summer Program for High School Students,Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Columbia Scholastic Press Association (CSPA) Summer Workshop,Good,Communication,Humanities,
Aspen Music Festival School,Good,Music,,
Boston University Tanglewood Institute(BUTI),Strong,Music,,
Boston University Visual Arts Summer Institute,Mediocre,Visual Arts,,
Boston University Summer Theater Institute,Mediocre,Performing Arts,,
Bowdoin International Music Festival,Good,Music,,
Eastern Music Festival Summer Study,Good,Music,,
Interlochen Summer Arts Camp,Strong,Visual Arts,Music,Humanities
Greenwood Chamber Music Camp,Strong,Music,,
Mathlinks,Poor,Math/Science,,
Math Zoom Summer Academy,Good,Math/Science,,
Rutgers Young Scholars Program in Discrete Mathematics,Good,Math/Science,,
Stanford Clinical Anatomy Summer Research Scholars Program,Strong,Math/Science,,
Stanford Surgical Anatomy for High School Seniors and Pre-Med students,Strong,Math/Science,,
EXPLO at Yale,Poor,Tech/Engineering,,
USC Summer Program (4 weeks),Poor,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
USC Summer Program,Poor,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Google Computer Science Summer Institute (CSSI),Superb,Tech/Engineering,,
UCSF Biomedical and Health Sciences Internship for High School Students,Strong,Math/Science,,
Iowa Young Writers Studio,Superb,Humanities,,
Sewanee Young Writers' Conference,Good,Humanities,,
Harvard medical school DCP,Strong,Math/Science,,
Tufts University Adventures in Veterinary Medicine Program,Strong,Math/Science,,
CNSI NanoScience Lab Program,Mediocre,Math/Science,,
Mathematics Summer Camp at Stony Brook University ,Strong,Math/Science,,
School of Creative and Performing Arts Summer Camp,Poor,Visual Arts,Performing Arts,
The School of Cinematic Arts Summer Program at USC,Strong,Visual Arts,Communication,
BU Summer Investigative Journalism Workshop,Poor,Communication,Humanities,
Johns Hopkins Engineering Innovation,Mediocre,Tech/Engineering,,
Stanford Summer Intensive Studies,Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
Rensselaer Robotics Engineering Academy,Mediocre,Tech/Engineering,,
Georgetown University Fundamentals Program,Mediocre,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
The Rockefeller University Summer Neuroscience Program,Good,Math/Science,,
U Chicago Research in the Biological Sciences (RIBS),Good,Math/Science,,
University of Chicago Summer Session (Stones and Bones: A Practicum in Paleontology),Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
High School Field Schools with ArchaeoSpain,Mediocre,Humanities,,
Center for American Archaeology High School Field School,Mediocre,Humanities,,
Summer Journalism@NYU,Mediocre,Communication,Humanities,
U of Iowa Summer Journalism Workshops,Mediocre,Communication,Humanities,
Hankuk University of Foreign Studies International Summer Session in Korean & East Asian Studies,Poor,Humanities,,
Barnard College Young Women's Leadership Institute,Good,Social Science,,
Notre Dame Pre-College Summer Scholars Program,Good,Social Science,Humanities,
Wellesley Pre College Summer Residential Program,Good,전공 키워드 검색/매칭 (해당사항 없으면 전공적합성 알수없음),,
U of Notre Dame Leadership Seminars,Superb,Social Science,Humanities,
Emerson College Summer Journalism Institute,Mediocre,Communication,Humanities,
Columbia Epidemiology Summer Online Course,Mediocre,Math/Science,,
Startalk U of Mississippi,Strong,Humanities,,
Middlebury Monterey Language Academy,Mediocre,Humanities,,
The Metropolitan Museum of Art Summer Internships for High School Students,Good,Humanities,Visual Arts,
Tufts University European Center Summer Program,Mediocre,Humanities,Social Science,
French Heritage Language Program Summer Camp,Mediocre,Humanities,,
Emory University Youth Theological Initiative Summer Academy,Good,Humanities,,
Summer Linguistics Institute for Youth Scholars at Ohio State University,Good,Humanities,,
National Security Language Initiative for Youth (NSLI-Y),Strong,Humanities,,
Brandeis University Genesis Summer Program in Social Entrepreneurship,Good,Business,Social Science,
Wake Forest School of Medicines Camp Med,Mediocre,Math/Science,,
University of Miami Nursing Pre-Entry Program,Good,Math/Science,,
Pharmacy Summer Camp at University of Houston,Mediocre,Math/Science,,
Cleveland Clinic Pharmacy Internship Program,Good,Math/Science,,
The Kansas University School of Pharmacy Summer Camp,Mediocre,Math/Science,,
Julliard Summer Dance Intensive,Superb,Performing Arts,,
American Dance Festival Program at Duke University,Good,Performing Arts,,
Mpulse Summer Dance Institute at U Michigan,Good,Performing Arts,,
UCLA Summer Dance/Performing Arts Summer Institutes,Mediocre,Performing Arts,,
New York City Dance Alliance Summer Intensive,Strong,Performing Arts,,
School of Visual Arts Summer Pre-College ,Mediocre,Visual Arts,,
Parsons Pre College Academy,Mediocre,Visual Arts,,
The Fashion Institute of Technology’s Pre-college Programs,Mediocre,Visual Arts,,
MPulse Summer Performing Arts Institutes,Good,Performing Arts,,
Peabody Preparatory Annapolis Campus Music Theory Workshop,Good,Music,,
UC Berkeley embARC Summer Design Academy ,Good,Visual Arts,,
Hospitality Management Summer Program at U of New Hampshire,Mediocre,Business,,
Les Roches International School of Hotel Management Summer Program,Good,Business,,
Journey for Juniors at Culinary Institute of America,Mediocre,Visual Arts,,
"Chicago Culinary, Hospitality and Business Camps for High School Students at Kendall College",Mediocre,Business,,
Institute On Neuroscience (ION/Teach) at Emory University,Good,Math/Science,,
Introduction to Radar for Student Engineers at MIT Lincoln Laboratory,Strong,Tech/Engineering,,
The Institute for Speech and Debate,Mediocre,Social Science,,
Rosetta Institute Cancer/Neuroscience Summer Camps,Mediocre,Math/Science,,
GATSVI Summer Program,Superb,Business,Social Science,Tech/Engineering
